image,title,artist,year,movement
https://upload.wikimedia.org/wikipedia/commons/8/8a/Martin%2C_John_-_The_Seventh_Plague_-_1823.jpg,the seventh plague of egypt,john martin,1823,romanticism
https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Joseph_Mallord_William_Turner_-_The_Fifth_Plague_of_Egypt_-_Google_Art_Project.jpg/3840px-Joseph_Mallord_William_Turner_-_The_Fifth_Plague_of_Egypt_-_Google_Art_Project.jpg,the fifth plague of egypt,jmw turner,1800,romanticism
https://muralsyourway.vtexassets.com/arquivos/ids/232056/Luncheon-Of-The-Boating-Party-Wall-Mural.jpg?v=638164792973500000,luncheon of the boating party,pierre-auguste renoir,1881,impressionism
https://upload.wikimedia.org/wikipedia/commons/c/c5/Jean-Leon_Gerome_Pollice_Verso.jpg,pollice verso,jean-leon gerome,1872,academicism
https://upload.wikimedia.org/wikipedia/commons/4/41/Thomas_Eakins%2C_American_-_Portrait_of_Dr._Samuel_D._Gross_%28The_Gross_Clinic%29_-_Google_Art_Project.jpg,the gross clinic,thomas eakins,1875,american realism
https://upload.wikimedia.org/wikipedia/commons/5/5d/Pissarro_Camille_-_Boulevard_Montmartre_%C3%A0_Paris.jpg,"boulevard montmartre, paris",camille pissarro,1897,impressionism
https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Albrecht_Altdorfer_-_Schlacht_bei_Issus_%28Alte_Pinakothek%2C_M%C3%BCnchen%29_-_Google_Art_Project.jpg/1280px-Albrecht_Altdorfer_-_Schlacht_bei_Issus_%28Alte_Pinakothek%2C_M%C3%BCnchen%29_-_Google_Art_Project.jpg,the battle of alexander at issus,albrecht altdorfer,1529,northern renaissance
https://upload.wikimedia.org/wikipedia/commons/8/89/Claude_Monet_-_Poppy_Field_-_Google_Art_Project.jpg,poppy fields near argenteuil,claude monet,1875,impressionism
https://upload.wikimedia.org/wikipedia/commons/0/02/El_Greco_View_of_Toledo.jpg,view of toledo,el greco,1600,mannerism
https://upload.wikimedia.org/wikipedia/commons/1/1c/Claude_Monet%2C_French_-_The_Japanese_Footbridge_and_the_Water_Lily_Pool%2C_Giverny_-_Google_Art_Project.jpg,the japanese footbridge,claude monet,1899,impressionism
https://upload.wikimedia.org/wikipedia/commons/1/1b/Whistlers_Mother_high_res.jpg,whistler's mother,james mcneill whistler,1871,realism / aestheticism / tonalism
https://www.tripimprover.com/uploads/7/3/6/3/73636755/leonardo-da-vinci-annunciation-1024px_2_orig.jpg,annunciation,leonardo da vinci,1472,early renaissance
https://upload.wikimedia.org/wikipedia/commons/e/e4/Johannes_Vermeer_-_The_Astronomer_-_1668.jpg,the astronomer,johannes vermeer,1668,dutch golden age
https://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/Vincent_van_Gogh_-_Self-Portrait_-_Google_Art_Project.jpg/1280px-Vincent_van_Gogh_-_Self-Portrait_-_Google_Art_Project.jpg,self-portrait,vincent van gogh,1889,post-impressionism
https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Vincent_van_Gogh_-_Self-Portrait_-_Google_Art_Project_%28719161%29.jpg/1280px-Vincent_van_Gogh_-_Self-Portrait_-_Google_Art_Project_%28719161%29.jpg,self-portrait,vincent van gogh,1889,post-impressionism
https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Self-Portrait_with_a_Bandaged_Ear_-_Vincent_van_Gogh.jpg/1280px-Self-Portrait_with_a_Bandaged_Ear_-_Vincent_van_Gogh.jpg,self-portrait with bandaged ear,vincent van gogh,1889,post-impressionism
https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/Vincent_Willem_van_Gogh_127.jpg/1280px-Vincent_Willem_van_Gogh_127.jpg,sunflowers,vincent van gogh,1888,post-impressionism
https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/Korenveld_met_kraaien_-_s0149V1962_-_Van_Gogh_Museum.jpg/3840px-Korenveld_met_kraaien_-_s0149V1962_-_Van_Gogh_Museum.jpg,wheatfield with crows,vincent van gogh,1890,post-impressionism
